id,name,url,regular_price,promo_price,brand
268833860,"Вино Chateau Pinot Колдун красное сухое, 0.75л",/products/075l-vino-shato-pino-koldun-kr-sh,1249,1249,CHATEAU PINOT
560399470,"Вино Chateau Tamagne Eno Каберне Совиньон-Цвайгельт розовое сухое, 0.75л",/products/075l-vino-eno-rz-sh,,299,CHATEAU TAMAGNE
7020864,"Вино River Delta Sauvignon Blanc белое сухое, 0.75л",/products/river-delta-sauvignon-blanc-suhoe-075-l,2159,1699,RIVER DELTA
600702222,"Вино Sitio Santo Medium Dy Vinho Verde белое полусухое, 0.75л",/products/075l-vino-sitio-santo-medium-bl-psh-226143,639,511.2,SITIO SANTO
403258003,"Вино Louis Dailly Cotes de Beaune-Villages красное сухое, 0.75л",/products/075l-vino-lui-dayi-kot-de-bon-kr-sh-211589,,3399,LOUIS DAILLY
472377,"Вино Albert Bichot Chablis AOC белое сухое, 0.75л",/products/albert-bichot-chablis-075-l,3499,2799.2,ALBERT BICHOT
402697,"Вино Minini Pinot Grigio белое сухое, 0.75л",/products/minini-pinot-grigio-beloe-suhoe-075-l-558082,1299,999,MININI
616196,"Вино Винодельня Ведерниковъ Каберне красное сухое, 0.75л",/products/075-l-vedern-kb-kr-sh,749,749,ВИНОДЕЛЬНЯ ВЕДЕРНИКОВЪ
483539,"Вино ликерное Солнечная Долина Черный Доктор красное сладкое, 0.75л",/products/chernyj-doktor-solnechnaya-dolina,1629,1629,СОЛНЕЧНАЯ ДОЛИНА
491034,"Вино Rapaura Springs Sauvignon Blanc Marlborough белое сухое, 0.75л",/products/rapaura-springs-ltd-sauvignon-blanc-marlborough-beloe-suhoe-075-l-624204,1799,1439.2,RAPAURA SPRINGS
410562,"Вино Pearly Bay белое сладкое, 0.75л",/products/pearly-bay-beloe-sladkoe-075-l-564211,599,479.2,PEARLY BAY
538429,"Вино Palavani Saperavi Kvevri красное сухое, 0.75л",/products/palavani-saperavi-kvevri-krasnoe-suhoe-075-l-59314,1399,1399,PALAVANI
255158,"Вино Gato Negro Sauvignon Blanc белое сухое, 0.75л",/products/vino-san-pedro-gato-negro-sauvignon-blanc-beloe-suhoe-075-l,849,679.2,GATO NEGRO
655721,"Вино Псоу белое полусладкое, 0.75л",/products/075-l-psou-bl-psl,549,549,ПСОУ
557512258,"Вино Calalenta Pecorino Fantini белое сухое, 0.75л",/products/075l-vino-kalalenta-pekorino-fantini-bl-sh,1449,1159.2,CALALENTA
521163,"Вино Insolito красное полусухое, 1.5л",/products/insolito-krasnoe-polusuhoe-15l,1599,1599,INSOLITO
